INSERT INTO `PeopleCounts` (`id`, `time`, `entering`) VALUES
(NULL, '2017-10-29 10:11:32', 'false'),
(NULL, '2017-10-29 13:19:32', 'false'),
(NULL, '2017-10-29 19:44:32', 'false'),
(NULL, '2017-10-29 15:12:32', 'false'),
(NULL, '2017-10-29 14:46:32', 'false'),
(NULL, '2017-10-29 10:08:32', 'false'),
(NULL, '2017-10-29 16:04:32', 'false'),
(NULL, '2017-10-29 12:55:32', 'false'),
(NULL, '2017-10-29 08:04:32', 'false'),
(NULL, '2017-10-29 15:10:32', 'false'),
(NULL, '2017-10-29 17:15:32', 'false'),
(NULL, '2017-10-29 11:23:32', 'false'),
(NULL, '2017-10-29 11:51:32', 'false'),
(NULL, '2017-10-29 09:45:32', 'false'),
(NULL, '2017-10-29 08:39:32', 'false'),
(NULL, '2017-10-29 20:52:32', 'false'),
(NULL, '2017-10-29 19:28:32', 'false'),
(NULL, '2017-10-29 20:36:32', 'false'),
(NULL, '2017-10-29 13:23:32', 'false'),
(NULL, '2017-10-29 13:03:32', 'false'),
(NULL, '2017-10-29 19:49:32', 'false'),
(NULL, '2017-10-29 19:38:32', 'false'),
(NULL, '2017-10-29 20:47:32', 'false'),
(NULL, '2017-10-29 11:08:32', 'false'),
(NULL, '2017-10-29 19:20:32', 'false'),
(NULL, '2017-10-29 11:32:32', 'false'),
(NULL, '2017-10-29 12:27:32', 'true'),
(NULL, '2017-10-29 09:41:32', 'true'),
(NULL, '2017-10-29 10:42:32', 'true'),
(NULL, '2017-10-29 08:44:32', 'true'),
(NULL, '2017-10-29 19:50:32', 'true'),
(NULL, '2017-10-29 15:39:32', 'true'),
(NULL, '2017-10-29 13:07:32', 'true'),
(NULL, '2017-10-29 10:56:32', 'true'),
(NULL, '2017-10-29 08:45:32', 'true'),
(NULL, '2017-10-29 18:13:32', 'true'),
(NULL, '2017-10-29 16:10:32', 'true'),
(NULL, '2017-10-29 17:18:32', 'true'),
(NULL, '2017-10-29 15:48:32', 'true'),
(NULL, '2017-10-29 17:54:32', 'true'),
(NULL, '2017-10-29 16:27:32', 'true'),
(NULL, '2017-10-29 14:20:32', 'true'),
(NULL, '2017-10-29 12:24:32', 'true'),
(NULL, '2017-10-29 12:28:32', 'true'),
(NULL, '2017-10-29 10:35:32', 'true'),
(NULL, '2017-10-29 15:40:32', 'true'),
(NULL, '2017-10-29 15:36:32', 'true'),
(NULL, '2017-10-29 11:21:32', 'true'),
(NULL, '2017-10-29 08:37:32', 'true'),
(NULL, '2017-10-29 16:00:32', 'true'),
(NULL, '2017-10-29 13:26:32', 'true'),
(NULL, '2017-10-29 15:16:32', 'true'),
(NULL, '2017-10-30 13:53:32', 'false'),
(NULL, '2017-10-30 14:53:32', 'false'),
(NULL, '2017-10-30 19:59:32', 'false'),
(NULL, '2017-10-30 18:16:32', 'false'),
(NULL, '2017-10-30 17:26:32', 'false'),
(NULL, '2017-10-30 08:31:32', 'false'),
(NULL, '2017-10-30 10:00:32', 'false'),
(NULL, '2017-10-30 10:25:32', 'false'),
(NULL, '2017-10-30 08:09:32', 'false'),
(NULL, '2017-10-30 18:38:32', 'false'),
(NULL, '2017-10-30 16:23:32', 'false'),
(NULL, '2017-10-30 10:29:32', 'false'),
(NULL, '2017-10-30 08:52:32', 'false'),
(NULL, '2017-10-30 16:52:32', 'false'),
(NULL, '2017-10-30 12:20:32', 'false'),
(NULL, '2017-10-30 11:16:32', 'false'),
(NULL, '2017-10-30 09:14:32', 'false'),
(NULL, '2017-10-30 08:11:32', 'false'),
(NULL, '2017-10-30 15:40:32', 'false'),
(NULL, '2017-10-30 18:12:32', 'false'),
(NULL, '2017-10-30 08:00:32', 'false'),
(NULL, '2017-10-30 09:44:32', 'false'),
(NULL, '2017-10-30 13:53:32', 'false'),
(NULL, '2017-10-30 12:32:32', 'false'),
(NULL, '2017-10-30 17:10:32', 'false'),
(NULL, '2017-10-30 14:36:32', 'true'),
(NULL, '2017-10-30 10:11:32', 'true'),
(NULL, '2017-10-30 09:49:32', 'true'),
(NULL, '2017-10-30 16:59:32', 'true'),
(NULL, '2017-10-30 19:01:32', 'true'),
(NULL, '2017-10-30 11:10:32', 'true'),
(NULL, '2017-10-30 18:12:32', 'true'),
(NULL, '2017-10-30 17:56:32', 'true'),
(NULL, '2017-10-30 19:21:32', 'true'),
(NULL, '2017-10-30 12:04:32', 'true'),
(NULL, '2017-10-30 09:48:32', 'true'),
(NULL, '2017-10-30 09:43:32', 'true'),
(NULL, '2017-10-30 14:51:32', 'true'),
(NULL, '2017-10-30 09:25:32', 'true'),
(NULL, '2017-10-30 14:50:32', 'true'),
(NULL, '2017-10-30 09:11:32', 'true'),
(NULL, '2017-10-30 12:32:32', 'true'),
(NULL, '2017-10-30 17:58:32', 'true'),
(NULL, '2017-10-30 17:14:32', 'true'),
(NULL, '2017-10-30 12:39:32', 'true'),
(NULL, '2017-10-30 15:47:32', 'true'),
(NULL, '2017-10-30 09:39:32', 'true'),
(NULL, '2017-10-30 10:38:32', 'true'),
(NULL, '2017-10-30 19:12:32', 'true'),
(NULL, '2017-10-30 10:04:32', 'true'),
(NULL, '2017-10-31 10:14:32', 'false'),
(NULL, '2017-10-31 14:31:32', 'false'),
(NULL, '2017-10-31 13:34:32', 'false'),
(NULL, '2017-10-31 10:27:32', 'false'),
(NULL, '2017-10-31 10:42:32', 'false'),
(NULL, '2017-10-31 16:07:32', 'false'),
(NULL, '2017-10-31 14:50:32', 'false'),
(NULL, '2017-10-31 17:42:32', 'false'),
(NULL, '2017-10-31 16:25:32', 'false'),
(NULL, '2017-10-31 11:19:32', 'false'),
(NULL, '2017-10-31 19:15:32', 'false'),
(NULL, '2017-10-31 12:24:32', 'false'),
(NULL, '2017-10-31 17:11:32', 'false'),
(NULL, '2017-10-31 20:51:32', 'false'),
(NULL, '2017-10-31 13:46:32', 'false'),
(NULL, '2017-10-31 12:37:32', 'false'),
